series,timestamp,value,label
s2,2023-01-22T13:57:40Z,965,
s2,2023-01-22T13:57:41Z,966,
s2,2023-01-22T13:57:42Z,966,
s2,2023-01-22T13:57:43Z,966,
s2,2023-01-22T13:57:44Z,966,
s2,2023-01-22T13:57:45Z,966,
s2,2023-01-22T13:57:46Z,966,
s2,2023-01-22T13:57:47Z,966,
s2,2023-01-22T13:57:48Z,966,
s2,2023-01-22T13:57:49Z,966,
s2,2023-01-22T13:57:50Z,963,
s2,2023-01-22T13:57:51Z,963,
s2,2023-01-22T13:57:52Z,963,
s2,2023-01-22T13:57:53Z,963,
s2,2023-01-22T13:57:54Z,963,
s2,2023-01-22T13:57:55Z,963,
s2,2023-01-22T13:57:56Z,963,
s2,2023-01-22T13:57:57Z,963,
s2,2023-01-22T13:57:58Z,963,
s2,2023-01-22T13:57:59Z,963,
s2,2023-01-22T13:58:00Z,963,
s2,2023-01-22T13:58:01Z,963,
s2,2023-01-22T13:58:02Z,963,
s2,2023-01-22T13:58:03Z,964,
s2,2023-01-22T13:58:04Z,964,
s2,2023-01-22T13:58:05Z,965,
s2,2023-01-22T13:58:06Z,965,
s2,2023-01-22T13:58:07Z,965,
s2,2023-01-22T13:58:08Z,965,
s2,2023-01-22T13:58:09Z,965,
s2,2023-01-22T13:58:10Z,965,
s2,2023-01-22T13:58:11Z,965,
s2,2023-01-22T13:58:12Z,965,
s2,2023-01-22T13:58:13Z,965,
s2,2023-01-22T13:58:14Z,965,
s2,2023-01-22T13:58:15Z,965,
s2,2023-01-22T13:58:16Z,965,
s2,2023-01-22T13:58:17Z,966,
s2,2023-01-22T13:58:18Z,966,
